order_date,order_id,customer_id,customer,segment,channel,product_id,product,category,quantity,unit_price,discount_pct,line_total,returned
2025-09-10,1001,29,Casey Larsen,Champion,Direct,1,Crew Tee,Apparel,3,65.04,10,175.61,0
2025-09-10,1001,29,Casey Larsen,Champion,Direct,2,Hoodie,Apparel,1,70.91,10,63.82,0
2025-09-10,1002,117,Nora Khan,At-Risk,Email,36,Puzzle 500pc,Toys,2,48.61,0,97.22,0
2025-09-10,1002,117,Nora Khan,At-Risk,Email,35,Building Blocks,Toys,1,26.57,0,26.57,1
2025-09-10,1003,135,Kai Park,Regular,Paid Search,11,Phone Case,Electronics,2,78.98,0,157.96,0
2025-09-10,1004,139,Iris Fischer,Champion,Organic,6,Beanie,Apparel,1,19.42,10,17.48,0
2025-09-10,1005,141,Ezra Sullivan,Champion,Referral,12,Bluetooth Speaker,Electronics,1,17.16,0,17.16,0
2025-09-10,1005,141,Ezra Sullivan,Champion,Referral,18,LED Lamp,Home,3,7.96,0,23.88,0
2025-09-10,1006,160,Wren Kowalski,Champion,Email,6,Beanie,Apparel,1,19.42,0,19.42,0
2025-09-10,1007,221,Noel Diaz,Champion,Email,6,Beanie,Apparel,1,19.42,0,19.42,0
2025-09-10,1008,226,Devon Park,Loyal,Paid Search,8,Chino Pants,Apparel,1,19.13,10,17.22,0
2025-09-10,1009,247,Wren Khan,Loyal,Email,40,Art Kit,Toys,1,28.28,10,25.45,0
2025-09-10,1010,282,Hugo Mendez,Loyal,Organic,31,Resistance Bands,Sports,1,54.49,0,54.49,0
2025-09-10,1010,282,Hugo Mendez,Loyal,Organic,18,LED Lamp,Home,1,7.96,0,7.96,1
2025-09-10,1010,282,Hugo Mendez,Loyal,Organic,14,Power Bank,Electronics,3,32.12,0,96.36,0
2025-09-10,1011,329,Riley Bauer,Champion,Email,20,Towel Set,Home,2,27.39,5,52.04,0
2025-09-10,1011,329,Riley Bauer,Champion,Email,27,Hand Cream,Beauty,2,11.54,5,21.93,0
2025-09-10,1012,366,Avery Osei,New,Direct,24,Lip Balm,Beauty,1,7.33,25,5.5,0
2025-09-10,1013,398,Cole Mendez,Regular,Direct,32,Foam Roller,Sports,3,32.11,0,96.33,0
2025-09-10,1013,398,Cole Mendez,Regular,Direct,24,Lip Balm,Beauty,2,7.33,0,14.66,0
2025-09-10,1013,398,Cole Mendez,Regular,Direct,9,Wireless Earbuds,Electronics,1,53.4,0,53.4,0
2025-09-10,1013,398,Cole Mendez,Regular,Direct,14,Power Bank,Electronics,1,32.12,0,32.12,0
2025-09-10,1014,414,Ezra Mendez,Regular,Direct,21,Storage Bin,Home,3,54.01,0,162.03,0
2025-09-10,1014,414,Ezra Mendez,Regular,Direct,24,Lip Balm,Beauty,1,7.33,0,7.33,0
2025-09-10,1014,414,Ezra Mendez,Regular,Direct,6,Beanie,Apparel,1,19.42,0,19.42,0
